INFO:root:Epoch 1, Loss: 2.2239716053009033, Val Loss 1.7792181968688965
INFO:root:Epoch 2, Loss: 1.3065105676651, Val Loss 0.7930641174316406
INFO:root:Epoch 3, Loss: 0.7210931181907654, Val Loss 0.47423645853996277
INFO:root:Epoch 4, Loss: 0.5198859572410583, Val Loss 0.3946596682071686
INFO:root:Epoch 5, Loss: 0.4365091919898987, Val Loss 0.31141024827957153
INFO:root:Epoch 6, Loss: 0.38406676054000854, Val Loss 0.2708185315132141
INFO:root:Epoch 7, Loss: 0.34772345423698425, Val Loss 0.24455198645591736
INFO:root:Epoch 8, Loss: 0.3142094910144806, Val Loss 0.23361149430274963
INFO:root:Epoch 9, Loss: 0.2952894866466522, Val Loss 0.2238699495792389
INFO:root:Epoch 10, Loss: 0.2723773717880249, Val Loss 0.20365898311138153
INFO:root:Epoch 11, Loss: 0.2581786513328552, Val Loss 0.1898506134748459
INFO:root:Epoch 12, Loss: 0.24799327552318573, Val Loss 0.18663276731967926
